price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
840,2.0,1.0,True,False,55.0,flat,Sants-Montjuïc
760,2.0,1.0,False,False,67.0,flat,Sants-Montjuïc
1400,1.0,1.0,True,True,60.0,flat,Sant Martí
1150,2.0,2.0,True,False,83.0,flat,Sant Martí
1700,3.0,2.0,True,False,118.0,flat,Sant Martí
1360,2.0,1.0,True,False,55.0,flat,Sant Martí
1650,2.0,2.0,True,True,93.0,flat,Sant Martí
1175,3.0,1.0,True,True,61.0,flat,Sant Martí
1210,2.0,1.0,True,False,55.0,flat,Sant Martí
1150,2.0,2.0,True,False,60.0,flat,Sant Martí
2000,4.0,3.0,True,False,154.0,flat,Sant Martí
1500,3.0,2.0,True,False,104.0,attic,Sant Martí
1900,2.0,2.0,True,False,85.0,flat,Sant Martí
1800,1.0,1.0,True,True,60.0,attic,Sant Martí
2520,3.0,2.0,True,False,193.0,flat,Sant Martí
2400,3.0,2.0,True,True,120.0,flat,Sant Martí
1500,3.0,2.0,True,True,66.0,flat,Sant Martí
2600,3.0,2.0,True,True,121.0,flat,Sant Martí
1250,2.0,1.0,False,False,73.0,flat,Sant Martí
1800,2.0,1.0,True,False,89.0,apartment,Sant Martí
1500,2.0,1.0,True,True,70.0,flat,Sant Martí
1190,2.0,1.0,True,False,64.0,flat,Ciutat Vella
1050,2.0,1.0,True,False,45.0,apartment,Ciutat Vella
1220,2.0,1.0,True,False,75.0,flat,Les Corts
1540,4.0,2.0,True,False,120.0,flat,Les Corts
2700,4.0,3.0,True,True,190.0,flat,Les Corts
1800,4.0,3.0,True,False,124.0,flat,Les Corts
2975,5.0,2.0,True,True,232.0,flat,Les Corts
1900,0.0,3.0,True,True,145.0,flat,Les Corts
1600,2.0,2.0,True,False,70.0,flat,Les Corts
1700,2.0,1.0,True,True,90.0,flat,Les Corts
1300,2.0,1.0,True,True,55.0,apartment,Les Corts
2300,2.0,2.0,True,True,130.0,apartment,Les Corts
2600,3.0,2.0,True,True,177.0,flat,Les Corts
2450,3.0,2.0,True,False,150.0,flat,Les Corts
2500,2.0,3.0,True,True,150.0,apartment,Les Corts
1895,3.0,3.0,True,False,175.0,flat,Les Corts
2950,5.0,3.0,True,False,250.0,apartment,Les Corts
1300,2.0,1.0,True,True,76.0,flat,Les Corts
2000,4.0,3.0,True,True,130.0,flat,Les Corts
3000,5.0,3.0,True,True,233.0,apartment,Les Corts
1300,2.0,2.0,True,False,74.0,flat,Les Corts
2250,3.0,2.0,True,False,120.0,flat,Les Corts
2600,5.0,3.0,True,True,180.0,flat,Les Corts
2000,4.0,2.0,True,True,150.0,flat,Les Corts
3000,4.0,4.0,True,False,235.0,flat,Les Corts
2750,5.0,3.0,True,False,160.0,flat,Les Corts
1035,3.0,2.0,True,False,85.0,flat,Eixample
775,1.0,1.0,False,False,39.0,flat,Sant Martí
800,3.0,2.0,True,False,83.0,flat,Sants-Montjuïc
650,2.0,1.0,False,False,56.0,flat,Horta- Guinardo
