price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood_Eixample,neighborhood_Gràcia,neighborhood_Horta- Guinardo,neighborhood_Les Corts,neighborhood_Nou Barris,neighborhood_Sant Andreu,neighborhood_Sant Martí,neighborhood_Sants-Montjuïc,neighborhood_Sarria-Sant Gervasi
1600,3,2,True,False,173,flat,0,0,0,0,0,0,0,0,0
1500,2,2,True,True,86,flat,0,0,0,0,0,0,0,0,0
1200,2,1,False,False,85,flat,0,0,0,0,0,0,0,0,0
2290,4,2,True,True,180,flat,0,1,0,0,0,0,0,0,0
1900,3,1,True,True,125,flat,0,1,0,0,0,0,0,0,0
1300,3,2,True,True,100,flat,0,1,0,0,0,0,0,0,0
2500,2,2,True,True,72,flat,0,1,0,0,0,0,0,0,0
1800,2,1,False,True,100,flat,0,1,0,0,0,0,0,0,0
1200,2,1,True,False,77,flat,0,1,0,0,0,0,0,0,0
1350,1,1,False,True,50,apartment,0,1,0,0,0,0,0,0,0
1250,2,2,False,False,75,flat,0,1,0,0,0,0,0,0,0
1480,2,2,True,False,100,flat,0,1,0,0,0,0,0,0,0
1300,2,1,True,False,60,apartment,0,1,0,0,0,0,0,0,0
1350,2,1,True,False,60,apartment,0,1,0,0,0,0,0,0,0
1800,3,2,True,False,100,flat,0,1,0,0,0,0,0,0,0
1900,1,1,False,True,80,flat,0,1,0,0,0,0,0,0,0
1300,3,1,False,True,85,flat,0,1,0,0,0,0,0,0,0
1400,3,2,False,False,125,flat,0,1,0,0,0,0,0,0,0
1835,1,1,True,False,59,flat,0,1,0,0,0,0,0,0,0
1400,2,1,True,False,55,flat,0,1,0,0,0,0,0,0,0
1900,1,1,False,True,80,flat,0,1,0,0,0,0,0,0,0
1500,1,1,False,True,94,flat,0,1,0,0,0,0,0,0,0
1800,2,1,True,False,100,flat,0,1,0,0,0,0,0,0,0
1800,2,1,False,True,65,attic,0,1,0,0,0,0,0,0,0
2050,3,2,True,True,177,flat,0,1,0,0,0,0,0,0,0
1300,4,1,False,True,85,flat,0,1,0,0,0,0,0,0,0
1300,4,1,True,False,107,flat,0,0,0,1,0,0,0,0,0
990,2,1,True,False,74,flat,1,0,0,0,0,0,0,0,0
1200,3,2,True,True,77,flat,0,0,0,0,0,0,0,1,0
2229,3,2,False,False,80,apartment,1,0,0,0,0,0,0,0,0
2150,1,1,False,False,35,apartment,0,0,0,0,0,0,0,1,0
1806,2,2,False,False,80,apartment,0,0,0,0,0,0,1,0,0
2155,3,2,False,False,80,apartment,1,0,0,0,0,0,0,0,0
2317,3,2,False,False,80,apartment,1,0,0,0,0,0,0,0,0
2008,3,2,False,False,80,apartment,1,0,0,0,0,0,0,0,0
2040,1,1,False,False,45,apartment,0,0,0,0,0,0,0,1,0
2760,3,2,False,False,80,apartment,1,0,0,0,0,0,0,0,0
950,1,1,True,True,40,attic,1,0,0,0,0,0,0,0,0
900,1,1,True,False,45,flat,1,0,0,0,0,0,0,0,0
850,1,1,True,False,50,flat,0,0,0,0,0,0,0,0,0
1000,3,2,True,False,88,flat,1,0,0,0,0,0,0,0,0
950,2,1,True,False,45,flat,1,0,0,0,0,0,0,0,0
1500,3,2,False,False,92,flat,0,0,0,0,0,0,0,0,1
1600,3,2,True,True,100,flat,0,0,0,0,0,0,0,0,1
